Clave,Longitud,Latitud,Altura,Nombre,Virtual,Region,comid
E000000001,-79.275003310000002,-4.774968170000000,3059,,,AMAZONIA,620610106
E000000002,-79.025003310000002,-4.774968170000000,1456,,,AMAZONIA,620567449
E000000003,-79.325003310000000,-4.674968170000000,2816,,,AMAZONIA,620538548
E0000M0438,-79.465000000000003,-4.628055556000000,2100,JIMBURA,,SIERRA,670042501
E0000M0150,-79.430555560000002,-4.584722222000000,1672,AMALUZA INAMHI,,SIERRA,670068097
E000000006,-79.375003309999997,-4.524968170000000,2085,,,SIERRA,670043520
E000000007,-80.375003309999997,-4.474968170000001,116,,,SIERRA,670083454
E000000011,-79.375003309999997,-4.474968170000001,2354,,,SIERRA,670042492
E000000012,-79.125003309999997,-4.474968170000001,2149,,,AMAZONIA,620659625
E000000013,-78.925003309999994,-4.474968170000001,2297,,,AMAZONIA,620771079
E0000M0439,-79.810277780000007,-4.361111111000000,700,SABIANGO INAMHI,,SIERRA,670051705
E000000015,-79.475003310000005,-4.374968170000000,1274,,V,SIERRA,670046586
E0000M0147,-79.175055560000004,-4.367916667000001,1835,YANGANA,,SIERRA,670054777
E000000017,-80.375003309999997,-4.324968170000000,438,,,SIERRA,670053750
E000000018,-80.025003310000002,-4.324968170000000,423,,,SIERRA,670026104
E0000M0434,-79.788888889999996,-4.324722222000000,1427,SOZORANGA INAMHI,,SIERRA,670051703
E0000M0544,-79.693055560000005,-4.316666667000000,2410,COLAISACA,,SIERRA,670034295
E0000M0146,-79.554333330000006,-4.333388889000000,1950,CARIAMANGA,,SIERRA,670052727
E000000022,-79.225003310000005,-4.324968170000000,1695,,V,SIERRA,670047608
E0000M0437,-80.198611110000002,-4.280833333000001,328,SAUCILLO(ALAMOR EN),,SIERRA,670071158
E000000024,-79.575003310000000,-4.274968170000000,1514,,,SIERRA,670063991
E000000025,-79.425003309999994,-4.274968170000000,2385,,V,SIERRA,670046581
E0000M0149,-79.419611110000005,-4.229555556000000,2042,GONZANAMA,,SIERRA,670035316
E0000M0143,-79.273333330000000,-4.216111111000000,1453,MALACATOS,,SIERRA,670057844
E000000028,-80.425003309999994,-4.174968170000000,304,,,SIERRA,670045555
E0000M0765,-80.123611109999999,-4.199444444000000,710,SABANILLA-PREDESUR,,SIERRA,670054772
E000000030,-80.225003310000005,-4.124968170000000,674,,,SIERRA,670036338
E0000M0148,-79.950972219999997,-4.104416667000000,1904,CELICA,,SIERRA,670055793
E000000032,-79.875003309999997,-4.124968170000000,1053,,,SIERRA,670046576
E000000033,-79.475003310000005,-4.124968170000000,1579,,,SIERRA,670041458
E000000034,-79.275003310000002,-4.124968170000000,2009,,,SIERRA,670049649
E000000035,-79.125003309999997,-4.124968170000000,2739,,,AMAZONIA,620612823
E0000M0515,-79.644444440000001,-4.055833333000000,1808,CATACOCHA,,SIERRA,670042477
E000000037,-78.675003309999994,-4.074968170000000,920,,,AMAZONIA,620638963
E0000M0435,-80.025444440000001,-4.021444444000000,1250,ALAMOR,,SIERRA,670047597
E000000039,-79.975003310000005,-4.024968170000000,1189,,,SIERRA,670040429
E000000040,-79.625003309999997,-4.024968170000000,1769,,,SIERRA,670042477
E0000M0033,-79.203400000000002,-4.037500000000000,2160,LA ARGELIA-LOJA,,SIERRA,620694002
E000000042,-79.375003309999997,-3.974968170000000,1236,,,SIERRA,670052715
E000000043,-79.325003310000000,-3.974968170000000,1777,,V,SIERRA,670048619
